"Date","Price","Open","High","Low","Vol.","Change %"
"22/06/2009","243.87","251.26","255.88","241.33","45.87M","-3.65%"
"19/06/2009","253.11","251.95","257.49","248.03","72.58M","1.95%"
"18/06/2009","248.26","252.05","254.03","241.10","48.05M","-0.46%"
"17/06/2009","249.41","253.57","260.03","242.95","59.46M","-2.53%"
"16/06/2009","255.88","255.88","266.04","251.72","48.73M","-0.63%"
"15/06/2009","257.49","268.81","269.50","255.18","45.49M","-4.54%"
"12/06/2009","269.73","279.22","280.98","269.27","76.34M","-4.11%"
"11/06/2009","281.28","271.23","281.28","262.57","157.59M","5.55%"
"10/06/2009","266.50","273.81","277.12","262.57","68.20M","-0.52%"
"09/06/2009","267.89","263.73","270.89","263.73","55.98M","2.21%"
"08/06/2009","262.11","260.50","271.16","254.95","63.30M","-0.44%"
"05/06/2009","263.27","251.26","263.27","249.41","163.99M","7.14%"
"04/06/2009","245.72","240.17","251.72","239.94","74.49M","2.41%"
"03/06/2009","239.94","249.41","255.88","235.56","168.11M","-5.03%"
"02/06/2009","252.64","256.57","258.42","244.56","425.02M","-13.52%"
"01/06/2009","292.13","277.12","297.68","274.81","99.97M","6.30%"
"29/05/2009","274.81","273.43","275.74","264.42","55.90M","3.65%"
"28/05/2009","265.12","260.03","266.73","258.65","33.75M","-1.03%"
"27/05/2009","267.89","264.96","276.89","263.96","45.82M","0.26%"
"26/05/2009","267.19","265.85","270.43","256.34","48.05M","0.87%"
"22/05/2009","264.88","261.19","272.04","260.73","35.96M","0.79%"
"21/05/2009","262.81","267.49","271.35","258.65","44.89M","-3.07%"
"20/05/2009","271.12","272.27","273.43","257.96","61.62M","-0.42%"
"19/05/2009","272.27","265.12","272.27","261.88","75.07M","4.99%"
"18/05/2009","259.34","244.79","261.19","242.71","62.27M","4.86%"
"15/05/2009","247.33","249.41","257.26","243.18","80.78M","5.83%"
"14/05/2009","233.71","224.70","240.64","218.23","77.15M","4.22%"
"13/05/2009","224.24","246.64","252.41","222.16","104.47M","-9.59%"
"12/05/2009","248.03","252.18","258.42","244.33","60.65M","-6.45%"
"11/05/2009","265.12","269.73","271.12","250.80","47.99M","2.14%"
"08/05/2009","259.57","258.65","262.81","243.87","62.77M","1.90%"
"07/05/2009","254.72","275.28","283.59","250.34","112.76M","-4.26%"
"06/05/2009","266.04","270.66","275.51","259.80","102.64M","-3.36%"
"05/05/2009","275.28","272.97","279.43","270.20","100.53M","-0.44%"
"04/05/2009","276.50","276.50","276.50","276.50","","7.28%"
"01/05/2009","257.73","254.95","257.73","248.95","66.73M","-0.88%"
