"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2014","1512.1","1482.1","1538.7","1482.1","7.75M","2.53%"
"01/09/2014","1474.8","1481.1","1489.8","1461.7","2.65M","-0.43%"
"29/08/2014","1481.1","1471.4","1523","1464.6","3.34M","1.15%"
"28/08/2014","1464.2","1505.8","1505.8","1461.2","3.77M","-3.54%"
"27/08/2014","1517.9","1526.6","1537.7","1502.4","2.70M","-0.57%"
"26/08/2014","1526.6","1524.7","1528.5","1496.6","3.83M","1.32%"
"22/08/2014","1506.7","1525.1","1529.5","1496.1","2.49M","-1.08%"
"21/08/2014","1523.2","1539.2","1542.1","1517.4","2.86M","-1.28%"
"20/08/2014","1543","1529.5","1551.8","1511.6","3.49M","0.98%"
"19/08/2014","1528","1553.2","1568.7","1526.1","3.42M","-1.29%"
"18/08/2014","1547.9","1539.2","1559","1537.8","2.80M","1.36%"
"15/08/2014","1527.1","1546.4","1559.5","1524.2","3.51M","-0.41%"
"14/08/2014","1533.4","1519.3","1541.1","1509.7","3.23M","0.48%"
"13/08/2014","1526.1","1540.6","1547.9","1515.9","4.28M","-0.60%"
"12/08/2014","1535.3","1540.6","1549.8","1521.8","2.96M","-1.03%"
"11/08/2014","1551.3","1516.9","1556.6","1508.7","3.98M","3.32%"
"08/08/2014","1501.4","1461.7","1506.3","1455.4","13.86M","1.47%"
"07/08/2014","1479.6","1520.8","1535.8","1476.3","3.98M","-2.65%"
"06/08/2014","1519.8","1498","1519.8","1483.5","4.31M","-0.26%"
"05/08/2014","1523.7","1548.4","1551.3","1512.1","3.20M","-0.69%"
"04/08/2014","1534.3","1548.4","1548.4","1524.2","2.89M","0.31%"
"01/08/2014","1529.5","1542.6","1542.6","1500.5","4.85M","-1.19%"
"31/07/2014","1547.9","1576","1581.8","1542.6","4.29M","-1.84%"
"30/07/2014","1576.9","1597.3","1600.6","1568.7","3.32M","-1.15%"
"29/07/2014","1595.3","1589","1603.6","1584.2","4.20M","0.92%"
"28/07/2014","1580.8","1583.7","1608.9","1567.7","4.56M","-0.40%"
"25/07/2014","1587.1","1542.1","1598.2","1532.4","7.63M","3.44%"
"24/07/2014","1534.3","1543.5","1549.8","1519.3","4.39M","-0.76%"
