"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2009","76.11","75.71","76.19","75.01","1.82M","1.48%"
"02/09/2009","75.00","75.07","75.17","74.06","2.69M","-0.62%"
"01/09/2009","75.47","76.10","76.83","75.41","2.73M","-1.50%"
"31/08/2009","76.62","75.99","76.78","75.52","1.46M","0.03%"
"28/08/2009","76.60","77.43","77.68","75.90","1.30M","-0.22%"
"27/08/2009","76.77","76.48","77.55","76.11","1.18M","-0.78%"
"26/08/2009","77.37","77.24","78.26","76.60","1.06M","-0.14%"
"25/08/2009","77.48","77.92","78.60","77.08","1.18M","0.03%"
"24/08/2009","77.46","79.05","79.40","77.21","1.72M","-1.32%"
"21/08/2009","78.50","77.79","79.20","77.46","1.95M","2.15%"
"20/08/2009","76.85","77.44","77.44","76.15","1.29M","-0.34%"
"19/08/2009","77.11","74.71","77.58","73.98","1.32M","1.92%"
"18/08/2009","75.66","75.01","76.10","74.85","1.24M","1.06%"
"17/08/2009","74.87","73.99","75.42","73.99","1.71M","-1.36%"
"14/08/2009","75.90","77.31","77.63","74.79","2.88M","-2.28%"
"13/08/2009","77.67","78.55","78.95","77.19","1.37M","-0.30%"
"12/08/2009","77.90","76.29","78.59","76.24","1.24M","1.46%"
"11/08/2009","76.78","76.66","77.24","75.97","1.05M","-0.38%"
"10/08/2009","77.07","77.75","77.91","76.44","1.01M","-1.51%"
"07/08/2009","78.25","78.59","79.20","76.90","1.56M","0.57%"
"06/08/2009","77.81","78.29","79.00","77.40","1.43M","-0.32%"
"05/08/2009","78.06","78.28","78.28","76.86","1.40M","-0.13%"
"04/08/2009","78.16","77.47","79.49","75.82","2.77M","-0.09%"
"03/08/2009","78.23","76.68","79.37","75.39","3.13M","0.06%"
"31/07/2009","78.18","75.75","79.50","75.38","3.38M","3.37%"
"30/07/2009","75.63","75.16","76.00","73.99","4.07M","2.88%"
"29/07/2009","73.51","70.06","74.29","70.04","5.34M","-3.78%"
"28/07/2009","76.40","76.52","77.00","75.44","1.59M","-0.80%"
"27/07/2009","77.02","76.25","77.15","76.03","1.64M","0.94%"
"24/07/2009","76.30","75.99","76.42","75.09","1.25M","0.03%"
"23/07/2009","76.28","74.27","76.97","73.66","2.68M","3.00%"
"22/07/2009","74.06","72.56","74.50","72.56","1.81M","0.95%"
"21/07/2009","73.36","72.48","73.50","71.79","2.06M","2.49%"
"20/07/2009","71.58","71.51","72.30","70.69","1.94M","0.60%"
"17/07/2009","71.15","71.41","71.87","70.74","2.11M","-1.29%"
"16/07/2009","72.08","72.34","73.19","71.34","2.78M","-0.26%"
"15/07/2009","72.27","72.31","72.96","71.53","2.84M","1.32%"
"14/07/2009","71.33","71.03","71.37","70.18","1.49M","0.39%"
"13/07/2009","71.05","69.30","71.16","68.36","2.02M","2.63%"
"10/07/2009","69.23","68.60","69.59","68.02","2.09M","-0.32%"
"09/07/2009","69.45","69.49","70.07","68.35","1.74M","1.39%"
"08/07/2009","68.50","67.68","68.84","67.63","2.75M","1.72%"
"07/07/2009","67.34","70.11","70.26","67.19","2.91M","-4.35%"
"06/07/2009","70.40","68.60","70.84","68.60","2.48M","0.34%"
"02/07/2009","70.16","69.72","70.32","68.85","1.81M","-1.04%"
"01/07/2009","70.90","71.69","72.27","70.76","1.66M","-0.24%"
"30/06/2009","71.07","72.08","72.62","70.79","2.26M","-1.73%"
"29/06/2009","72.32","72.32","72.78","71.74","1.59M","0.19%"
"26/06/2009","72.18","70.80","72.41","70.36","2.30M","1.66%"
"25/06/2009","71.00","69.61","71.29","69.11","2.08M","1.91%"
"24/06/2009","69.67","70.23","70.95","69.15","1.86M","-0.13%"
"23/06/2009","69.76","68.85","70.18","67.97","2.25M","0.98%"
"22/06/2009","69.08","70.80","71.27","68.93","2.13M","-4.24%"
"19/06/2009","72.14","72.32","73.34","71.35","1.99M","-0.63%"
"18/06/2009","72.60","71.48","73.45","71.19","1.49M","1.58%"
"17/06/2009","71.47","70.94","72.72","69.88","2.49M","0.28%"
"16/06/2009","71.27","73.09","73.56","71.27","1.94M","-1.72%"
"15/06/2009","72.52","73.67","73.86","71.77","1.71M","-2.97%"
"12/06/2009","74.74","75.68","75.68","73.53","1.64M","-1.54%"
"11/06/2009","75.91","75.13","76.95","75.00","1.56M","1.88%"
"10/06/2009","74.51","76.99","76.99","73.45","1.96M","-2.08%"
"09/06/2009","76.09","75.63","76.42","75.00","1.27M","0.89%"
"08/06/2009","75.42","75.24","76.15","74.16","1.13M","-0.58%"
"05/06/2009","75.86","76.27","77.08","75.20","1.85M","-0.20%"
"04/06/2009","76.01","75.02","76.50","74.50","1.89M","1.90%"
"03/06/2009","74.59","75.95","75.95","73.67","2.10M","-2.84%"
"02/06/2009","76.77","76.14","76.97","75.33","2.57M","0.59%"
"01/06/2009","76.32","73.69","76.70","73.20","1.95M","4.26%"
"29/05/2009","73.20","72.12","73.21","71.05","1.92M","2.56%"
"28/05/2009","71.37","71.17","71.52","69.72","1.71M","1.65%"
"27/05/2009","70.21","72.46","73.02","70.19","2.15M","-3.43%"
"26/05/2009","72.70","70.47","73.13","70.06","1.47M","2.25%"
"22/05/2009","71.10","71.05","72.00","70.20","1.20M","0.97%"
"21/05/2009","70.42","71.42","71.45","69.64","1.88M","-2.80%"
"20/05/2009","72.45","73.28","74.73","72.19","1.82M","-0.45%"
"19/05/2009","72.78","72.77","73.49","72.38","1.44M","0.36%"
"18/05/2009","72.52","71.40","72.64","70.75","2.28M","2.87%"
"15/05/2009","70.50","70.72","71.79","69.95","1.78M","-0.75%"
"14/05/2009","71.03","69.85","71.39","69.79","1.88M","1.70%"
"13/05/2009","69.84","71.44","71.72","69.37","2.70M","-3.72%"
"12/05/2009","72.54","72.35","72.97","71.11","1.92M","1.07%"
"11/05/2009","71.77","71.96","72.97","71.00","1.89M","-1.90%"
"08/05/2009","73.16","74.05","74.86","72.70","2.29M","0.16%"
"07/05/2009","73.04","76.72","76.97","72.37","2.60M","-3.00%"
"06/05/2009","75.30","74.72","75.71","74.49","2.26M","1.18%"
"05/05/2009","74.42","77.21","77.34","73.85","2.34M","-3.79%"
